id,name,country,confederation,level,most_titled,current_champion
53,La Liga,Espanha,UEFA,1,Real Madrid (36),Barcelona (2024/25)
19,Bundesliga,Alemanha,UEFA,1,Bayern de Munique (34),Bayern de Munique (2024/25)
16,Ligue 1,França,UEFA,1,Paris Saint-Germain (14),Paris Saint-Germain (2025/26)
31,Serie A,Itália,UEFA,1,Juventus (36),Napoli (2024/25)
13,Premier League,Inglaterra,UEFA,1,"Manchester United (13, era PL)",Liverpool (2024/25)
350,Pro League,Bélgica,UEFA,1,Anderlecht (34),Club Brugge (2025/26)
39,Major League Soccer,Estados Unidos/Canadá,CONCACAF,1,LA Galaxy (6),Inter Miami (2025)
68,Süper Lig,Turquia,UEFA,1,Galatasaray (26),Galatasaray (2024/25)
317,Hrvatska nogometna liga,Croácia,UEFA,1,Dinamo Zagreb (25),Rijeka (2024/25)
353,Liga Profesional de Fútbol,Argentina,CONMEBOL,1,River Plate (38),Rosario Central (Campeão 2025)
308,Primeira Liga,Portugal,UEFA,1,Benfica (38),FC Porto (2025/26)
10,Eredivisie,Países Baixos,UEFA,1,Ajax (36),PSV (2025/26)
50,Premiership,Escócia,UEFA,1,Celtic (56),Celtic (2025/26)
319,První liga,Chéquia (Rep. Tcheca),UEFA,1,Sparta Praga,Slavia Praga (2025/26)
14,Championship,Inglaterra,UEFA,2,—,Coventry City (2025/26)
330,Liga I,Romênia,UEFA,1,FCSB / Steaua (28),FCSB (2024/25)
17,Ligue 2,França,UEFA,2,—,Lorient (2024/25)
2012,Super League,Suíça,UEFA,1,Grasshopper (27),FC Thun (2025/26)
41,Eliteserien,Noruega,UEFA,1,Rosenborg (26),Viking (2025)
336,Categoría Primera A,Colômbia,CONMEBOL,1,Atlético Nacional (18),Junior (Finalización 2025)
54,La Liga 2,Espanha,UEFA,2,—,Racing Santander (2025/26)
32,Serie B,Itália,UEFA,2,—,Sassuolo (2024/25)
335,Primera Division,Chile,CONMEBOL,1,Colo-Colo (34),Coquimbo Unido (2025)
20,2. Bundesliga,Alemanha,UEFA,2,—,1. FC Köln (2024/25)
83,K League 1,Coreia do Sul,AFC,1,Jeonbuk Hyundai Motors,Jeonbuk Hyundai Motors (2025)
351,A-League Men,Austrália,AFC,1,Sydney FC (5),Auckland FC (2025/26)
56,Allsvenskan,Suécia,UEFA,1,Malmö FF (24),Mjällby AIF (2025)
337,División Profesional,Paraguai,CONMEBOL,1,Olimpia (47),Cerro Porteño (Clausura 2025)
1,Superliga,Dinamarca,UEFA,1,FC Copenhague (16),AGF (2025/26)
64,Nemzeti Bajnokság I,Hungria,UEFA,1,Ferencváros (36),Győri ETO (2025/26)
338,Primera División,Uruguai,CONMEBOL,1,Peñarol (52),Nacional (2024)
66,Ekstraklasa,Polônia,UEFA,1,Legia Varsóvia (15),Lech Poznań (2025/26)
2020,Liga 1,Peru,CONMEBOL,1,Universitario (29),Universitario (2025)
60,League One,Inglaterra,UEFA,3,—,Birmingham City (2024/25)
61,League Two,Inglaterra,UEFA,4,—,Bromley (2025/26)
318,1. Division,Dinamarca,UEFA,2,—,OB (2024/25)
322,Veikkausliiga,Finlândia,UEFA,1,HJK Helsinque (17),KuPS (2025)
2017,División de Fútbol Profesional,Bolívia,CONMEBOL,1,Bolívar (31),Always Ready (2025)
313,Premyer Liqa,Azerbaijão,UEFA,1,Qarabağ (12),Qarabağ (2024/25)
2076,3. Liga,Alemanha,UEFA,3,VfL Osnabrück (3),VfL Osnabrück (2025/26)
65,Premier Division,Irlanda,UEFA,1,Shamrock Rovers (22),Shamrock Rovers (2025)
280,Série A,Brasil,CONMEBOL,1,Palmeiras (12),Botafogo (2024)
