player_id,short_name,long_name,positions,main_position,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,league_id,club_id,nationality,preferred_foot,weak_foot,skill_moves,intl_reputation,pace,shooting,passing,dribbling,defending,physic,face_url
252371,J. Bellingham,Jude Victor William Bellingham,"CAM, CM",CAM,90,94,174500000,320000,22,29/06/2003,186,75,53,243,England,Right,4,4,5,80,86,83,90,78,85,https://cdn.sofifa.net/players/252/371/26_120.png
239053,F. Valverde,Federico Santiago Valverde Dipetta,"CM, CDM, RB",CM,89,90,120500000,340000,26,22/07/1998,182,74,53,243,Uruguay,Right,4,3,4,88,84,84,84,83,85,https://cdn.sofifa.net/players/239/053/26_120.png
212622,J. Kimmich,Joshua Walter Kimmich,"CDM, RB, CM",CDM,89,89,86000000,140000,30,08/02/1995,177,75,19,21,Germany,Right,4,3,4,72,74,89,84,83,79,https://cdn.sofifa.net/players/212/622/26_120.png
235212,A. Hakimi,Achraf Hakimi Mouhأشرف حكيمي,"RB, RM",RB,89,90,111000000,170000,26,04/11/1998,181,73,16,73,Morocco,Right,4,4,4,92,79,82,83,82,79,https://cdn.sofifa.net/players/235/212/26_120.png
224232,N. Barella,Nicolò Barella,CM,CM,87,87,79500000,69000,28,07/02/1997,175,68,31,44,Italy,Right,4,3,4,80,78,84,86,81,76,https://cdn.sofifa.net/players/224/232/26_120.png
208128,H. Çalhanoğlu,Hakan Çalhanoğlu,"CDM, CM",CDM,86,86,47500000,61000,31,08/02/1994,178,69,31,44,Türkiye,Right,5,4,4,71,81,87,82,81,73,https://cdn.sofifa.net/players/208/128/26_120.png
226268,F. Dimarco,Federico Dimarco,"LB, LM",LB,85,85,52000000,54000,27,10/11/1997,175,76,31,44,Italy,Left,4,3,3,80,78,84,82,79,77,https://cdn.sofifa.net/players/226/268/26_120.png
239837,A. Mac Allister,Alexis Mac Allister,"CM, CDM",CM,87,88,93000000,180000,26,24/12/1998,176,72,13,9,Argentina,Right,3,3,4,66,82,85,85,78,76,https://cdn.sofifa.net/players/239/837/26_120.png
231866,Rodri,Rodrigo Hernández Cascante,"CDM, CM",CDM,90,90,102000000,270000,29,22/06/1996,190,82,13,10,Spain,Right,4,3,5,65,80,86,84,86,85,https://cdn.sofifa.net/players/231/866/26_120.png
194765,A. Griezmann,Antoine Griezmann,"ST, LM, CAM",ST,85,85,26000000,115000,34,21/03/1991,176,67,53,240,France,Left,3,4,4,77,86,85,88,59,73,https://cdn.sofifa.net/players/194/765/26_120.png
232656,T. Hernández,Theo Bernard François Hernández,"LB, LM",LB,84,85,44500000,65000,27,06/10/1997,184,81,350,605,France,Left,3,4,3,90,76,78,83,79,83,https://cdn.sofifa.net/players/232/656/26_120.png
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,"CAM, CM",CAM,87,87,77000000,165000,30,08/09/1994,179,69,13,11,Portugal,Right,4,4,4,67,83,89,83,65,75,https://cdn.sofifa.net/players/212/198/26_120.png
246191,J. Alvarez,Julián Álvarez,ST,ST,87,90,107000000,125000,25,31/01/2000,170,71,53,240,Argentina,Right,4,4,4,85,87,81,87,57,79,https://cdn.sofifa.net/players/246/191/26_120.png
231281,T. Alexander-Arnold,Trent John Alexander-Arnold,"RB, RM",RB,86,87,73000000,250000,26,07/10/1998,180,69,53,243,England,Right,4,3,4,76,72,89,80,80,74,https://cdn.sofifa.net/players/231/281/26_120.png
244675,Sancet,Oihan Sancet Tirapu,"CAM, CM, ST",CAM,84,88,58500000,66000,25,25/04/2000,188,77,53,448,Spain,Right,4,4,3,76,83,80,85,70,82,https://cdn.sofifa.net/players/244/675/26_120.png
210008,A. Rabiot,Adrien Rabiot-Provost,"CAM, CM",CAM,83,83,35000000,71000,30,03/04/1995,191,80,31,47,France,Left,3,3,3,81,79,81,80,77,84,https://cdn.sofifa.net/players/210/008/26_120.png
212616,R. De Paul,Rodrigo Javier de Paul,"CM, CDM, CAM",CM,84,84,34500000,100000,31,24/05/1994,180,70,39,112893,Argentina,Right,3,4,3,75,78,83,83,76,83,https://cdn.sofifa.net/players/212/616/26_120.png
241096,S. Tonali,Sandro Tonali,"CDM, CM",CDM,86,88,76500000,175000,25,08/05/2000,181,79,13,13,Italy,Right,4,3,3,79,74,82,80,81,83,https://cdn.sofifa.net/players/241/096/26_120.png
226161,Marcos Llorente,Marcos Llorente Moreno,"RB, CM, RM",RB,84,84,36500000,95000,30,30/01/1995,184,74,53,240,Spain,Right,4,3,3,89,79,78,81,78,82,https://cdn.sofifa.net/players/226/161/26_120.png
209658,L. Goretzka,Leon Christoph Goretzka,"CM, CDM, CAM",CM,82,82,29000000,78000,30,06/02/1995,189,82,19,21,Germany,Right,4,3,3,77,78,80,80,80,82,https://cdn.sofifa.net/players/209/658/26_120.png
255253,Vitinha,Vítor Machado Ferreira,"CM, CDM, CAM",CM,89,91,128500000,170000,25,13/02/2000,172,64,16,73,Portugal,Right,3,4,4,72,80,86,90,75,70,https://cdn.sofifa.net/players/255/253/26_120.png
209331,M. Salah,Mohamed Salah Hamed Ghalyمحمد صلاح,"RM, RW",RM,91,91,82000000,370000,33,15/06/1992,175,72,13,9,Egypt,Left,3,4,5,89,88,86,90,45,76,https://cdn.sofifa.net/players/209/331/26_120.png
204923,M. Sabitzer,Marcel Sabitzer,"CDM, CM",CDM,80,80,15000000,52000,31,17/03/1994,178,76,19,22,Austria,Right,4,3,3,74,80,80,80,76,76,https://cdn.sofifa.net/players/204/923/26_120.png
234378,D. Rice,Declan Rice,"CDM, CM",CDM,87,88,83500000,210000,26,14/01/1999,185,80,13,1,England,Right,3,3,4,72,73,84,80,83,83,https://cdn.sofifa.net/players/234/378/26_120.png
210514,João Cancelo,João Pedro Cavaco Cancelo,"RB, LB, RM",RB,84,84,30500000,68000,31,27/05/1994,182,74,350,605,Portugal,Right,4,4,3,83,73,84,84,78,74,https://cdn.sofifa.net/players/210/514/26_120.png
228702,F. de Jong,Frenkie de Jong,"CM, CDM",CM,87,87,79500000,170000,28,12/05/1997,181,74,53,241,Netherlands,Right,3,4,4,82,71,85,87,78,77,https://cdn.sofifa.net/players/228/702/26_120.png
240638,T. Reijnders,Tijjani Martinus Jan Reijnders Lekatompessy,"CM, CDM, CAM",CM,86,87,79500000,190000,26,29/07/1998,185,73,13,10,Netherlands,Right,4,4,4,79,79,82,85,77,77,https://cdn.sofifa.net/players/240/638/26_120.png
236772,D. Szoboszlai,Dominik Szoboszlai,"CAM, CM",CAM,83,86,49500000,110000,24,25/10/2000,186,74,13,9,Hungary,Right,4,4,3,79,82,84,82,67,76,https://cdn.sofifa.net/players/236/772/26_120.png
233419,Raphinha,Raphael Dias Belloli,"LM, LW",LM,89,89,104000000,200000,28,14/12/1996,176,68,53,241,Brazil,Left,4,4,4,91,84,85,87,53,75,https://cdn.sofifa.net/players/233/419/26_120.png
246669,B. Saka,Bukayo Saka,"RW, RM",RW,88,90,118500000,230000,23,05/09/2001,178,65,13,1,England,Left,4,3,4,84,82,85,88,60,73,https://cdn.sofifa.net/players/246/669/26_120.png
223848,S. Milinković-Savić,Sergej Milinković-SavićСергеј Милинковић-Савић,"CM, CDM, CAM",CM,84,84,40500000,70000,30,27/02/1995,192,95,350,605,Serbia,Right,5,4,3,62,80,81,81,78,88,https://cdn.sofifa.net/players/223/848/26_120.png
251854,Pedri,Pedro González López,"CM, CDM, CAM",CM,89,93,149500000,170000,22,25/11/2002,174,60,53,241,Spain,Right,4,4,4,77,73,85,91,78,77,https://cdn.sofifa.net/players/251/854/26_120.png
247851,Bruno Guimarães,Bruno Guimarães Rodrigues Moura,"CM, CDM",CM,86,87,77500000,190000,27,16/11/1997,182,74,13,13,Brazil,Right,2,3,4,66,75,84,84,79,81,https://cdn.sofifa.net/players/247/851/26_120.png
231443,O. Dembélé,Masour Ousmane Dembélé,"ST, RW, CAM",ST,90,90,122500000,220000,28,15/05/1997,178,67,16,73,France,Left,5,5,5,91,88,83,93,50,69,https://cdn.sofifa.net/players/231/443/26_120.png
272834,João Neves,João Pedro Gonçalves Neves,"CM, CDM",CM,85,90,79500000,90000,20,27/09/2004,174,66,16,73,Portugal,Right,4,3,3,74,71,80,84,82,83,https://cdn.sofifa.net/players/272/834/26_120.png
246104,R. Gravenberch,Ryan Jiro Gravenberch,"CDM, CM",CDM,85,88,66500000,125000,23,16/05/2002,190,77,13,9,Netherlands,Right,4,4,3,76,76,81,85,81,81,https://cdn.sofifa.net/players/246/104/26_120.png
231478,L. Martínez,Lautaro Javier Martínez,ST,ST,88,88,99000000,79000,27,22/08/1997,174,72,31,44,Argentina,Right,4,4,5,81,88,75,84,51,83,https://cdn.sofifa.net/players/231/478/26_120.png
192883,H. Mkhitaryan,Henrikh Mkhitaryan,CM,CM,83,83,11500000,37000,36,21/01/1989,177,75,31,44,Armenia,Right,5,4,3,77,78,82,83,72,75,https://cdn.sofifa.net/players/192/883/26_120.png
192985,K. De Bruyne,Kevin De Bruyne,"CM, CAM",CM,87,87,36500000,175000,34,28/06/1991,181,75,31,48,Belgium,Right,5,4,4,66,83,92,84,65,72,https://cdn.sofifa.net/players/192/985/26_120.png
240679,T. Koopmeiners,Teun Koopmeiners,"CAM, CM",CAM,81,81,27500000,120000,27,28/02/1998,183,77,31,45,Netherlands,Left,2,3,3,70,79,83,78,75,75,https://cdn.sofifa.net/players/240/679/26_120.png
247635,K. Kvaratskhelia,Khvicha Kvaratskheliaხვიჩა კვარაცხელია,"LW, RW, LM",LW,87,90,109000000,140000,24,12/02/2001,183,70,16,73,Georgia,Right,5,5,3,86,80,83,88,58,78,https://cdn.sofifa.net/players/247/635/26_120.png
210035,Grimaldo,Alejandro Grimaldo García,"LM, LB, LW",LM,84,84,41500000,110000,29,20/09/1995,171,68,19,32,Spain,Left,2,4,3,72,73,87,85,74,67,https://cdn.sofifa.net/players/210/035/26_120.png
238074,R. James,Reece James,RB,RB,81,84,31500000,115000,25,08/12/1999,180,91,13,5,England,Right,4,3,3,76,71,82,77,81,81,https://cdn.sofifa.net/players/238/074/26_120.png
208574,F. Kostić,Filip KostićФилип Костић,"LM, LB, LW",LM,81,81,20500000,125000,32,01/11/1992,184,84,31,45,Serbia,Left,2,3,3,82,76,81,80,70,77,https://cdn.sofifa.net/players/208/574/26_120.png
238216,C. Gallagher,Conor Gallagher,"CM, CAM, LM",CM,81,85,35500000,70000,25,06/02/2000,182,77,53,240,England,Right,4,3,3,75,76,80,78,79,84,https://cdn.sofifa.net/players/238/216/26_120.png
225193,Mikel Merino,Mikel Merino Zazón,"CM, ST",CM,83,83,35500000,160000,29,22/06/1996,189,83,13,1,Spain,Left,3,3,3,63,79,80,80,81,80,https://cdn.sofifa.net/players/225/193/26_120.png
247090,E. Fernández,Enzo Jeremías Fernández,"CM, CDM, CAM",CM,84,87,57000000,140000,24,17/01/2001,178,76,13,5,Argentina,Right,4,3,3,68,75,85,81,73,75,https://cdn.sofifa.net/players/247/090/26_120.png
209297,Fred,Frederico Rodrigues de Paula Santos,"CM, CDM, CAM",CM,80,80,16500000,60000,32,05/03/1993,169,62,68,326,Brazil,Left,4,4,3,77,71,78,82,76,75,https://cdn.sofifa.net/players/209/297/26_120.png
197445,D. Alaba,David Olatukunbo Alaba,"CB, LB, LM",CB,82,82,14500000,185000,33,24/06/1992,180,78,53,243,Austria,Left,4,3,3,68,71,82,79,82,75,https://cdn.sofifa.net/players/197/445/26_120.png
226754,I. Bennacer,Ismaël Bennacerاسماعيل بن ناصر,"CDM, CM",CDM,80,82,23000000,25000,27,01/12/1997,175,70,317,211,Algeria,Left,3,3,3,76,72,80,83,76,74,https://cdn.sofifa.net/players/226/754/26_120.png
